fixed acidity,volatile acidity,citric acid,residual sugar,chlorides,free sulfur dioxide,total sulfur dioxide,density,pH,sulphates,alcohol,quality
7.4,0.7,0,1.9,0.076,Medium,34,High,Very Basic,0.56,9.4,Decent
7.8,0.88,0,2.6,0.098,Unknown,67,High,Normal,0.68,9.8,Decent
7.8,0.76,0.04,2.3,0.092,High,54,High,Normal,0.65,9.8,Decent
11.2,0.28,0.56,1.9,0.075,High,60,Very High,Normal,0.58,9.8,Fine
7.4,0.7,0,1.9,0.076,Medium,34,High,Very Basic,0.56,9.4,Decent
7.4,0.66,0,1.8,0.075,Medium,40,High,Very Basic,0.56,9.4,Decent
7.9,0.6,0.06,1.6,0.069,High,59,Medium,Normal,0.46,9.4,Decent
7.3,0.65,0,1.2,0.065,High,21,Low,Normal,0.47,10,Good
7.8,0.58,0.02,2,0.073,Medium,18,High,Normal,0.57,9.5,Good
7.5,0.5,0.36,6.1,0.071,High,102,High,Normal,0.8,10.5,Decent
6.7,0.58,0.08,1.8,0.097,High,65,Medium,Normal,0.54,9.2,Decent
7.5,0.5,0.36,6.1,0.071,High,102,High,Normal,0.8,10.5,Decent
5.6,0.615,0,1.6,0.089,High,59,Low,Very Basic,0.52,9.9,Decent
7.8,0.61,0.29,1.6,0.114,Medium,29,High,Normal,1.56,9.1,Decent
8.9,0.62,0.18,3.8,0.176,Unknown,145,Very High,Normal,0.88,9.2,Decent
8.9,0.62,0.19,3.9,0.17,Unknown,148,Very High,Normal,0.93,9.2,Decent
8.5,0.28,0.56,1.8,0.092,Unknown,103,High,Normal,0.75,10.5,Good
8.1,0.56,0.28,1.7,0.368,High,56,High,Very Accidic,1.28,9.3,Decent
7.4,0.59,0.08,4.4,0.086,Low,29,High,Normal,0.5,9,Fair
7.9,0.32,0.51,1.8,0.341,High,56,High,Very Accidic,1.08,9.2,Fine
8.9,0.22,0.48,1.8,0.077,Unknown,60,High,Normal,0.53,9.4,Fine
7.6,0.39,0.31,2.3,0.082,Unknown,71,Very High,Very Basic,0.65,9.7,Decent
7.9,0.43,0.21,1.6,0.106,Medium,37,Medium,Normal,0.91,9.5,Decent
8.5,0.49,0.11,2.3,0.084,Medium,67,High,Normal,0.53,9.4,Decent
6.9,0.4,0.14,2.4,0.085,High,40,High,Normal,0.63,9.7,Fine
6.3,0.39,0.16,1.4,0.08,Medium,23,Low,Normal,0.56,9.3,Decent
7.6,0.41,0.24,1.8,0.08,Low,11,Medium,Normal,0.59,9.5,Decent
7.9,0.43,0.21,1.6,0.106,Medium,37,Medium,Normal,0.91,9.5,Decent
7.1,0.71,0,1.9,0.08,Medium,35,High,Normal,0.55,9.4,Decent
7.8,0.645,0,2,0.082,Medium,16,Medium,Normal,0.59,9.8,Fine
6.7,0.675,0.07,2.4,0.089,High,82,Medium,Normal,0.54,10.1,Decent
6.9,0.685,0,2.5,0.105,Unknown,37,Medium,Normal,0.57,10.6,Fine
8.3,0.655,0.12,2.3,0.083,High,113,Medium,Normal,0.66,9.8,Decent
6.9,0.605,0.12,10.7,0.073,Unknown,83,Very High,Normal,0.52,9.4,Fine
5.2,0.32,0.25,1.8,0.103,Medium,50,Medium,Normal,0.55,9.2,Decent
7.8,0.645,0,5.5,0.086,Low,18,Very High,Normal,0.55,9.6,Fine
7.8,0.6,0.14,2.4,0.086,Low,15,High,Normal,0.6,10.8,Fine
8.1,0.38,0.28,2.1,0.066,Medium,30,High,Normal,0.73,9.7,Good
5.7,1.13,0.09,1.5,0.172,Low,19,Low,Very Basic,0.48,9.8,Fair
7.3,0.45,0.36,5.9,0.074,Medium,87,High,Normal,0.83,10.5,Decent
7.3,0.45,0.36,5.9,0.074,Medium,87,High,Normal,0.83,10.5,Decent
8.8,0.61,0.3,2.8,0.088,High,46,High,Normal,0.51,9.3,Fair
7.5,0.49,0.2,2.6,0.332,Medium,14,High,Normal,0.9,10.5,Fine
8.1,0.66,0.22,2.2,0.069,Medium,23,High,Normal,1.2,10.3,Decent
6.8,0.67,0.02,1.8,0.05,Low,11,Medium,Normal,0.52,9.5,Decent
4.6,0.52,0.15,2.1,0.054,Medium,65,Low,Unknown,0.56,13.1,Fair
7.7,0.935,0.43,2.2,0.114,Unknown,114,High,Normal,0.73,9.2,Decent
8.7,0.29,0.52,1.6,0.113,Medium,37,High,Normal,0.58,9.5,Decent
6.4,0.4,0.23,1.6,0.066,Low,12,Medium,Normal,0.56,9.2,Decent
5.6,0.31,0.37,1.4,0.074,Medium,96,Low,Normal,0.58,9.2,Decent
8.8,0.66,0.26,1.7,0.074,Low,23,High,Normal,0.74,9.2,Decent
6.6,0.52,0.04,2.2,0.069,Medium,15,Low,Normal,0.63,9.4,Fine
6.6,0.5,0.04,2.1,0.068,Low,14,Low,Normal,0.64,9.4,Fine
8.6,0.38,0.36,3,0.081,Unknown,119,High,Normal,0.56,9.4,Decent
7.6,0.51,0.15,2.8,0.11,Unknown,73,Low,Normal,0.63,10.2,Fine
7.7,0.62,0.04,3.8,0.084,Unknown,45,High,Normal,0.53,9.5,Decent
10.2,0.42,0.57,3.4,0.07,Low,10,High,Very Accidic,0.63,9.6,Decent
7.5,0.63,0.12,5.1,0.111,Unknown,110,Very High,Normal,0.77,9.4,Decent
7.8,0.59,0.18,2.3,0.076,High,54,High,Normal,0.59,10,Decent
7.3,0.39,0.31,2.4,0.074,Medium,46,Medium,Normal,0.54,9.4,Fine
8.8,0.4,0.4,2.2,0.079,High,52,Very High,Normal,0.64,9.2,Decent
7.7,0.69,0.49,1.8,0.115,High,112,High,Normal,0.71,9.3,Decent
7.5,0.52,0.16,1.9,0.085,Medium,35,High,Normal,0.62,9.5,Good
7,0.735,0.05,2,0.081,Medium,54,Medium,Normal,0.57,9.8,Decent
7.2,0.725,0.05,4.65,0.086,Low,11,Medium,Normal,0.39,10.9,Decent
7.2,0.725,0.05,4.65,0.086,Low,11,Medium,Normal,0.39,10.9,Decent
7.5,0.52,0.11,1.5,0.079,Medium,39,High,Normal,0.58,9.6,Decent
6.6,0.705,0.07,1.6,0.076,Low,15,Medium,Normal,0.58,10.7,Decent
9.3,0.32,0.57,2,0.074,Unknown,65,High,Normal,0.79,10.7,Decent
8,0.705,0.05,1.9,0.074,Medium,19,Medium,Normal,0.95,10.5,Fine
7.7,0.63,0.08,1.9,0.076,High,27,Medium,Normal,0.54,9.5,Fine
7.7,0.67,0.23,2.1,0.088,High,96,Medium,Normal,0.48,9.5,Decent
7.7,0.69,0.22,1.9,0.084,High,94,Medium,Normal,0.48,9.5,Decent
8.3,0.675,0.26,2.1,0.084,Medium,43,High,Normal,0.53,9.2,Fair
9.7,0.32,0.54,2.5,0.094,Unknown,83,Very High,Normal,0.82,9.6,Decent
8.8,0.41,0.64,2.2,0.093,Medium,42,Very High,Very Basic,0.66,10.5,Decent
8.8,0.41,0.64,2.2,0.093,Medium,42,Very High,Very Basic,0.66,10.5,Decent
6.8,0.785,0,2.4,0.104,Medium,30,Medium,Very Basic,0.55,10.7,Fine
6.7,0.75,0.12,2,0.086,Medium,80,Medium,Normal,0.52,10.1,Decent
8.3,0.625,0.2,1.5,0.08,Unknown,119,High,Normal,1.12,9.1,Fair
6.2,0.45,0.2,1.6,0.069,Low,15,Medium,Normal,0.56,9.2,Decent
7.8,0.43,0.7,1.9,0.464,Unknown,67,High,Normal,1.28,9.4,Decent
7.4,0.5,0.47,2,0.086,High,73,High,Normal,0.57,9.1,Decent
7.3,0.67,0.26,1.8,0.401,High,51,High,Normal,1.14,9.4,Decent
6.3,0.3,0.48,1.8,0.069,High,61,Medium,Normal,0.78,10.3,Fine
6.9,0.55,0.15,2.2,0.076,High,40,Medium,Normal,0.59,10.1,Decent
8.6,0.49,0.28,1.9,0.11,High,136,High,Very Accidic,1.95,9.9,Fine
7.7,0.49,0.26,1.9,0.062,Medium,31,Medium,Normal,0.64,9.6,Decent
9.3,0.39,0.44,2.1,0.107,Unknown,125,High,Normal,1.22,9.5,Decent
7,0.62,0.08,1.8,0.076,Medium,24,High,Normal,0.53,9,Decent
7.9,0.52,0.26,1.9,0.079,Unknown,140,Medium,Normal,0.54,9.5,Decent
8.6,0.49,0.28,1.9,0.11,High,136,High,Very Accidic,1.95,9.9,Fine
8.6,0.49,0.29,2,0.11,High,133,High,Very Accidic,1.98,9.8,Decent
7.7,0.49,0.26,1.9,0.062,Medium,31,Medium,Normal,0.64,9.6,Decent
5,1.02,0.04,1.4,0.045,Unknown,85,Low,Unknown,0.48,10.5,Fair
4.7,0.6,0.17,2.3,0.058,High,106,Low,Unknown,0.6,12.9,Fine
6.8,0.775,0,3,0.102,Medium,23,Medium,Normal,0.56,10.7,Decent
7,0.5,0.25,2,0.07,Low,22,Medium,Normal,0.63,9.2,Decent
7.6,0.9,0.06,2.5,0.079,Low,10,Medium,Normal,0.56,9.8,Decent
8.1,0.545,0.18,1.9,0.08,Medium,35,High,Normal,0.59,9,Fine
8.3,0.61,0.3,2.1,0.084,Medium,50,High,Normal,0.61,10.2,Fine
