Administrative,Administrative_Duration,Informational,Informational_Duration,ProductRelated,ProductRelated_Duration,BounceRates,ExitRates,PageValues,SpecialDay,Month,OperatingSystems,Browser,Region,TrafficType,VisitorType,Weekend,Revenue
0,0,0,0,1,0,0.2,3,0,LOW,Feb,1,1,1,1,Returning_Visitor,FALSE,FALSE
0,0,0,0,2,0,0,3,0,LOW,Feb,2,2,1,2,Returning_Visitor,FALSE,FALSE
0,-1,0,-1,1,0,0.2,3,0,LOW,Feb,4,1,9,3,Returning_Visitor,FALSE,FALSE
0,0,0,0,2,0,0.05,3,0,LOW,Feb,3,2,2,4,Returning_Visitor,FALSE,FALSE
0,0,0,0,10,1,0.02,2,0,LOW,Feb,3,3,1,4,Returning_Visitor,TRUE,FALSE
0,0,0,0,19,1,0.015789474,1,0,LOW,Feb,2,2,1,3,Returning_Visitor,FALSE,FALSE
0,-1,0,-1,1,0,0.2,3,0,NORMAL,Feb,2,4,3,3,Returning_Visitor,FALSE,FALSE
1,-1,0,-1,1,0,0.2,3,0,LOW,Feb,1,2,1,5,Returning_Visitor,TRUE,FALSE
0,0,0,0,2,0,0,3,0,HIGH,Feb,2,2,2,3,Returning_Visitor,FALSE,FALSE
0,0,0,0,3,1,0,1,0,NORMAL,Feb,2,4,1,2,Returning_Visitor,FALSE,FALSE
0,0,0,0,3,1,0,3,0,LOW,Feb,1,1,3,3,Returning_Visitor,FALSE,FALSE
0,0,0,0,16,1,0.01875,1,0,NORMAL,Feb,1,1,4,3,Returning_Visitor,FALSE,FALSE
0,0,0,0,7,1,0,1,0,LOW,Feb,1,1,1,3,Returning_Visitor,FALSE,FALSE
0,0,0,0,6,0,0,3,0,LOW,Feb,2,5,1,3,Returning_Visitor,FALSE,FALSE
0,0,0,0,2,0,0,3,0,LOW,Feb,3,2,3,3,Returning_Visitor,FALSE,FALSE
2,53,0,0,23,1,0.008333333,1,0,LOW,Feb,1,1,9,3,Returning_Visitor,FALSE,FALSE
0,-1,0,-1,1,0,0.2,3,0,LOW,Feb,1,1,4,3,Returning_Visitor,FALSE,FALSE
0,0,0,0,13,1,0,0,0,LOW,Feb,1,1,1,4,Returning_Visitor,TRUE,FALSE
0,0,0,0,2,0,0,3,0,LOW,Feb,2,2,1,3,Returning_Visitor,FALSE,FALSE
0,0,0,0,20,1,0,0,0,LOW,Feb,2,4,4,4,Returning_Visitor,FALSE,FALSE
0,0,0,0,8,0,0,0,0,HIGH,Feb,2,2,5,1,Returning_Visitor,TRUE,FALSE
0,-1,0,-1,1,0,0.2,3,0,LOW,Feb,3,3,1,3,Returning_Visitor,FALSE,FALSE
0,0,0,0,3,0,0,2,0,LOW,Feb,3,2,1,5,Returning_Visitor,FALSE,FALSE
0,0,0,0,2,0,0,3,0,HIGH,Feb,2,4,1,3,Returning_Visitor,FALSE,FALSE
0,-1,0,-1,1,0,0.2,3,0,LOW,Feb,2,2,4,1,Returning_Visitor,TRUE,FALSE
0,0,0,0,5,1,0,2,0,LOW,Feb,1,1,9,3,Returning_Visitor,FALSE,FALSE
4,64.6,0,0,32,1,0.002857143,0,0,LOW,Feb,2,2,1,3,Returning_Visitor,FALSE,FALSE
0,0,0,0,4,0,0.05,3,0,LOW,Feb,1,1,1,3,Returning_Visitor,FALSE,FALSE
0,0,0,0,4,0,0,2,0,NORMAL,Feb,2,6,1,3,Returning_Visitor,FALSE,FALSE
1,6,1,0,45,1,0.043478261,2,5417976426,NORMAL,Feb,3,2,1,1,Returning_Visitor,FALSE,FALSE
0,0,0,0,2,0,0,3,0,LOW,Feb,1,1,6,3,Returning_Visitor,FALSE,FALSE
0,0,0,0,3,0,0,3,0,LOW,Feb,1,2,6,6,Returning_Visitor,TRUE,FALSE
0,0,0,0,8,1,0,1,0,LOW,Feb,2,2,1,1,Returning_Visitor,FALSE,FALSE
0,0,0,0,10,1,0.04,3,0,LOW,Feb,1,1,3,1,Returning_Visitor,FALSE,FALSE
0,0,0,0,14,1,0.014285714,1,0,LOW,Feb,2,2,1,1,Returning_Visitor,FALSE,FALSE
0,0,0,0,52,1,0.015384615,1,0,LOW,Feb,2,2,7,1,Returning_Visitor,FALSE,FALSE
0,0,0,0,8,1,0.025,2,0,LOW,Feb,3,2,1,4,Returning_Visitor,TRUE,FALSE
2,18,0,0,5,1,0,1,0,HIGH,Feb,2,2,8,4,Returning_Visitor,FALSE,FALSE
0,0,0,0,7,0,0.028571429,3,0,HIGH,Feb,2,2,1,3,Returning_Visitor,FALSE,FALSE
0,0,0,0,9,1,0,1,0,LOW,Feb,2,5,1,6,Returning_Visitor,FALSE,FALSE
1,9,0,0,46,1,0,0,0,LOW,Feb,2,2,8,4,Returning_Visitor,FALSE,FALSE
0,0,0,0,3,0,0,3,0,HIGH,Feb,1,1,3,2,Returning_Visitor,FALSE,FALSE
0,0,0,0,15,1,0,0,0,LOW,Feb,1,1,4,4,Returning_Visitor,FALSE,FALSE
0,0,0,0,2,0,0,2,0,NORMAL,Feb,3,2,2,3,Returning_Visitor,FALSE,FALSE
0,0,0,0,4,0,0,2,0,LOW,Feb,4,1,1,3,Returning_Visitor,FALSE,FALSE
0,0,0,0,22,1,0.003030303,0,0,NORMAL,Feb,2,5,1,4,Returning_Visitor,FALSE,FALSE
0,0,0,0,14,1,0.017142857,2,0,LOW,Feb,1,1,1,2,Returning_Visitor,FALSE,FALSE
0,0,0,0,3,0,0.066666667,3,0,NORMAL,Feb,3,2,1,3,Returning_Visitor,FALSE,FALSE
0,0,0,0,11,1,0,0,0,LOW,Feb,3,2,1,3,Returning_Visitor,FALSE,FALSE
0,-1,0,-1,1,0,0.2,3,0,HIGH,Feb,2,2,3,2,Returning_Visitor,FALSE,FALSE
0,-1,0,-1,1,0,0.2,3,0,LOW,Feb,1,1,3,4,Returning_Visitor,TRUE,FALSE
0,0,0,0,12,1,0.011111111,1,0,NORMAL,Feb,3,2,1,3,Returning_Visitor,FALSE,FALSE
0,0,0,0,2,0,0,3,0,HIGH,Feb,2,4,4,2,Returning_Visitor,TRUE,FALSE
0,0,0,0,4,1,0,3,0,LOW,Feb,4,2,2,3,Returning_Visitor,FALSE,FALSE
0,0,0,0,4,0,0.05,1,0,NORMAL,Feb,3,3,1,4,Returning_Visitor,FALSE,FALSE
0,0,0,0,1,0,0.2,3,0,NORMAL,Feb,2,4,1,3,Returning_Visitor,FALSE,FALSE
0,0,0,0,1,0,0.2,3,0,HIGH,Feb,3,2,3,3,Returning_Visitor,FALSE,FALSE
4,56,2,120,36,1,0,0,1944707913,NORMAL,Feb,2,2,4,1,Returning_Visitor,FALSE,FALSE
0,0,0,0,4,0,0,2,0,NORMAL,Feb,2,6,6,3,Returning_Visitor,FALSE,FALSE
2,16,0,0,16,1,0.011764706,2,0,HIGH,Feb,2,4,2,1,Returning_Visitor,FALSE,FALSE
0,0,0,0,6,1,0,1,0,NORMAL,Feb,1,1,3,3,Returning_Visitor,FALSE,FALSE
0,0,0,0,8,1,0.05,3,0,LOW,Feb,1,1,1,3,Returning_Visitor,FALSE,FALSE
12,2794166667,0,0,42,1,0.009,1,3830849268,LOW,Feb,1,1,3,2,Returning_Visitor,FALSE,FALSE
0,0,0,0,14,1,0,0,0,LOW,Feb,2,2,5,4,Returning_Visitor,TRUE,FALSE
0,-1,0,-1,1,0,0.2,3,0,LOW,Feb,2,2,4,3,Returning_Visitor,FALSE,FALSE
3,8783333333,0,0,27,1,0,0,229160357,HIGH,Feb,2,2,3,1,Returning_Visitor,FALSE,TRUE
4,44,0,0,90,1,0.002150538,0,0,LOW,Feb,4,1,1,3,Returning_Visitor,FALSE,FALSE
0,0,0,0,1,0,0.2,3,0,HIGH,Feb,2,2,5,1,Returning_Visitor,FALSE,FALSE
0,0,0,0,18,1,0,0,0,LOW,Feb,2,7,2,4,Returning_Visitor,FALSE,FALSE
0,0,0,0,1,0,0.2,3,0,NORMAL,Feb,3,2,3,3,Returning_Visitor,FALSE,FALSE
0,0,0,0,1,0,0.2,3,0,LOW,Feb,2,6,1,2,Returning_Visitor,FALSE,FALSE
0,0,0,0,20,1,0.025,2,0,LOW,Feb,2,6,6,1,Returning_Visitor,FALSE,FALSE
0,0,0,0,2,0,0,3,0,NORMAL,Feb,2,2,3,3,Returning_Visitor,FALSE,FALSE
0,0,0,0,8,1,0,0,0,LOW,Feb,2,4,3,2,Returning_Visitor,FALSE,FALSE
0,0,0,0,3,0,0,3,0,LOW,Feb,2,4,3,3,Returning_Visitor,FALSE,FALSE
0,0,0,0,16,1,0,1,0,LOW,Feb,2,4,1,1,Returning_Visitor,FALSE,FALSE
10,1005666667,0,0,36,1,0.004347826,0,1143941195,LOW,Feb,2,6,1,2,Returning_Visitor,FALSE,TRUE
